year,co2_ppm,so2_mt_per_yr
1998,365.9329554239909,117.02616704771498
1999,367.84497833251953,110.87411893093665
2000,369.1249745686849,111.14860426813186
2001,370.6729888916016,111.9237248560712
2002,372.83499399820965,111.20156334370368
2003,375.41099802653,115.10387816360677
2004,376.9870020548503,120.49372604696684
2005,378.9070078531901,124.9806757834322
2006,381.0100072224935,125.89628423514212
2007,382.6030197143554,125.08757397121607
2008,384.739018758138,122.36065090038171
2009,386.28002166748047,117.25939145993684
2010,388.7170308430989,116.3174480659564
2011,390.9440205891927,117.48575892006976
2012,393.0159912109375,115.66957640847058
2013,395.724978129069,114.64817742063164
2014,397.5469792683919,114.0086622048385
2015,399.94909922281903,100.77116698064656
2016,403.1169637044271,96.6331548651134
2017,405.7619603474935,92.49514274958025
2018,408.63196563720703,88.3571306340471
2019,411.5059661865234,84.21911851851394
2020,414.3899637858073,80.0811064029808
2021,417.2869567871094,79.96634301235318
2022,420.19796498616535,79.85157962172558
2023,423.1249593098958,79.73681623109796
2024,426.0689595540365,79.62205284047035
2025,429.0299580891927,79.50728944984274
2026,432.0109608968099,79.39252605921513
2027,435.0119603474935,79.27776266858751
2028,438.0329564412434,79.1629992779599
2029,441.0769577026367,79.0482358873323
2030,444.14295959472656,78.93347249670468
2031,447.2319590250651,77.69024160053971
2032,450.3329544067383,76.44701070437473
2033,453.4349543253581,75.20377980820976
2034,456.5409622192383,73.96054891204479
2035,459.6519597371419,72.71731801587981
2036,462.7699559529622,71.47408711971482
2037,465.8969548543294,70.23085622354985
2038,469.032958984375,68.98762532738488
2039,472.1789576212565,67.7443944312199
2040,475.3359603881836,66.50116353505493
2041,478.5039571126302,65.18094093127765
2042,481.6739552815755,63.86071832750036
2043,484.83795674641925,62.540495723723076
2044,487.9959538777669,61.22027311994579
2045,491.1499506632487,59.900050516168506
2046,494.29995981852215,58.579827912391224
2047,497.4469579060872,57.259605308613935
2048,500.5919545491536,55.93938270483665
2049,503.7339579264323,54.619160101059364
2050,506.8749542236328,53.29893749728208
2051,510.0139516194661,52.56921940740518
2052,513.1369603474935,51.83950131752828
2053,516.2299601236979,51.10978322765138
2054,519.2919565836588,50.38006513777447
2055,522.3259582519531,49.65034704789757
2056,525.3319600423177,48.92062895802067
2057,528.3099568684896,48.19091086814377
2058,531.2609608968099,47.46119277826686
2059,534.1859588623047,46.731474688389966
2060,537.0849558512369,46.00175659851306
2061,539.9579620361328,45.59303153224523
2062,542.7949523925781,45.184306465977386
2063,545.5869496663412,44.77558139970955
2064,548.334950764974,44.36685633344171
2065,551.0389607747396,43.958131267173876
2066,553.699951171875,43.54940620090604
2067,556.3189544677734,43.1406811346382
2068,558.8949534098307,42.731956068370366
2069,561.4309590657552,42.323231002102524
2070,563.9249572753906,41.91450593583469
2071,566.3799591064453,41.5736346182542
2072,568.771962483724,41.232763300673696
2073,571.0829620361328,40.8918919830932
2074,573.3139597574869,40.5510206655127
2075,575.4659678141276,40.21014934793221
2076,577.5399678548177,39.869278030351715
2077,579.5369618733724,39.528406712771215
2078,581.4579722086588,39.18753539519072
2079,583.303965250651,38.84666407761022
2080,585.0739695231119,38.50579276002973
2081,586.7699686686198,37.9713007622076
2082,588.3779602050781,37.43680876438546
2083,589.8859710693359,36.90231676656333
2084,591.2959747314453,36.367824768741194
2085,592.6089782714844,35.833332770919064
2086,593.8249664306641,35.298840773096934
2087,594.9449768066406,34.7643487752748
2088,595.9699757893881,34.22985677745267
2089,596.8999786376953,33.69536477963053
2090,597.7349751790365,33.1608727818084
2091,598.4769846598307,32.927024893368774
2092,599.1499837239584,32.69317700492915
2093,599.7759857177734,32.45932911648952
2094,600.35498046875,32.225481228049894
2095,600.8859812418619,31.991633339610267
2096,601.3659871419271,31.757785451170637
2097,601.7969818115234,31.52393756273101
2098,602.1769866943359,31.290089674291384
2099,602.5049794514974,31.056241785851757
2100,602.781982421875,30.82239389741213
